unique_number,rev_bis,name_en,date_inscribed,danger_list,Latitude,Longitude,area_hectares,C1,C2,C3,C4,C5,C6,N7,N8,N9,N10,criteria_txt,category,category_short,states_name_en
831,,"Mountain Resort and its Outlying Temples, Chengde",1994,,40.98694,117.93833,0,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,China
832,,Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu,1994,,35.61167,116.975,0,1,0,0,1,0,1,0,0,0,0,(i)(iv)(vi),Cultural,C,China
833,,Ancient Building Complex in the Wudang Mountains,1994,,32.46667,111,0,1,1,0,0,0,1,0,0,0,0,(i)(ii)(vi),Cultural,C,China
837,Ter,"Historic Ensemble of the Potala Palace, Lhasa",1994,,29.65792,91.11717,60.5,1,0,0,1,0,1,0,0,0,0,(i)(iv)(vi),Cultural,C,China
921,,Lushan National Park,1996,,29.43333333,115.8666667,0,0,1,1,1,0,1,0,0,0,0,(ii)(iii)(iv)(vi),Cultural,C,China
922,,"Mount Emei Scenic Area, including Leshan Giant Buddha Scenic Area",1996,,29.5449,103.76925,15400,0,0,0,1,0,1,0,0,0,1,(iv)(vi)(x),Mixed,C/N,China
1934,Bis,Old Town of Lijiang,1997,,26.86667,100.23333,145.6,0,1,0,1,1,0,0,0,0,0,(ii)(iv)(v),Cultural,C,China
959,,Ancient City of Ping Yao,1997,,37.20139,112.15444,245.62,0,1,1,1,0,0,0,0,0,0,(ii)(iii)(iv),Cultural,C,China
961,Bis,Classical Gardens of Suzhou,1997,,31.31666667,120.45,11.922,1,1,1,1,1,0,0,0,0,0,(i)(ii)(iii)(iv)(v),Cultural,C,China
1032,,"Summer Palace, an Imperial Garden in Beijing",1998,,39.91055556,116.1411111,297,1,1,1,0,0,0,0,0,0,0,(i)(ii)(iii),Cultural,C,China
1033,,Temple of Heaven: an Imperial Sacrificial Altar in Beijing,1998,,39.84555556,116.4447222,215,1,1,1,0,0,0,0,0,0,0,(i)(ii)(iii),Cultural,C,China
2245,,Mount Wuyi,1999,,27.71667,117.68333,107044,0,0,1,0,0,1,1,0,0,1,(iii)(vi)(vii)(x),Mixed,C/N,China
1065,,Dazu Rock Carvings,1999,,29.70111,105.705,20.41,1,1,1,0,0,0,0,0,0,0,(i)(ii)(iii),Cultural,C,China
1167,,Mount Qingcheng and the Dujiangyan Irrigation System,2000,,31.00167,103.60528,0,0,1,0,1,0,1,0,0,0,0,(ii)(iv)(vi),Cultural,C,China
1168,,Ancient Villages in Southern Anhui – Xidi and Hongcun,2000,,29.90444444,117.9875,52,0,0,1,1,1,0,0,0,0,0,(iii)(iv)(v),Cultural,C,China
1169,,Longmen Grottoes,2000,,34.46666667,112.4666667,331,1,1,1,0,0,0,0,0,0,0,(i)(ii)(iii),Cultural,C,China
1172,Ter,Imperial Tombs of the Ming and Qing Dynasties,2000,,41.70722222,124.7938889,3434.9399,1,1,1,1,0,1,0,0,0,0,(i)(ii)(iii)(iv)(vi),Cultural,C,China
1213,,Yungang Grottoes,2001,,40.10972,113.12222,348.75,1,1,1,1,0,0,0,0,0,0,(i)(ii)(iii)(iv),Cultural,C,China
1731,Bis,Three Parallel Rivers of Yunnan Protected Areas,2003,,27.895,98.40638889,,0,0,0,0,0,0,1,1,1,1,(vii)(viii)(ix)(x),Natural,N,China
1289,,Historic Centre of Macao,2005,,22.1912919444,113.5364611111,16.1678,0,1,1,1,0,1,0,0,0,0,(ii)(iii)(iv)(vi),Cultural,C,China
1877,,Cultural Landscape of Honghe Hani Rice Terraces ,2013,,23.0932777778,102.7799805556,16603.22,0,0,1,0,1,0,0,0,0,0,(iii)(v),Cultural,C,China
1459,,Kaiping Diaolou and Villages,2007,,22.2855194444,112.5658611111,371.948,0,1,1,1,0,0,0,0,0,0,(ii)(iii)(iv),Cultural,C,China
1505,,Fujian <em>Tulou</em>,2008,,25.0230555556,117.6858333333,152.65,0,0,1,1,1,0,0,0,0,0,(iii)(iv)(v),Cultural,C,China
1293,,Yin Xu,2006,,36.1266666666,114.3138888888,414,0,1,1,1,0,1,0,0,0,0,(ii)(iii)(iv)(vi),Cultural,C,China
1315,,Capital Cities and Tombs of the Ancient Koguryo Kingdom,2004,,41.15694444,126.1872222,4164.8599,1,1,1,1,1,0,0,0,0,0,(i)(ii)(iii)(iv)(v),Cultural,C,China
1390,,"Sichuan Giant Panda Sanctuaries - Wolong, Mt Siguniang and Jiajin Mountains ",2006,,30.8333333333,103,924500,0,0,0,0,0,0,0,0,0,1,(x),Natural,N,China
1965,Bis,South China Karst,2007,,24.9233333333,110.3544444444,49537,0,0,0,0,0,0,1,1,0,0,(vii)(viii),Natural,N,China
1587,,Mount Wutai,2009,,39.0305555556,113.5633333333,18415,0,1,1,1,0,1,0,0,0,0,(ii)(iii)(iv)(vi),Cultural,C,China
1523,,Mount Sanqingshan National Park,2008,,28.9158333333,118.0644444444,22950,0,0,0,0,0,0,1,0,0,0,(vii),Natural,N,China
1726,Rev,Historic Monuments of Dengfeng in “The Centre of Heaven and Earth”,2010,,34.4587472222,113.0677194444,825,0,0,1,0,0,1,0,0,0,0,(iii)(vi),Cultural,C,China
1765,,West Lake Cultural Landscape of Hangzhou,2011,,30.2375,120.1408333333,3322.88,0,1,1,0,0,1,0,0,0,0,(ii)(iii)(vi),Cultural,C,China
1676,,China Danxia,2010,,28.4219444444,106.0425,82151,0,0,0,0,0,0,1,1,0,0,(vii)(viii),Natural,N,China
1803,,Chengjiang Fossil Site,2012,,24.6688888889,102.9772222222,512,0,0,0,0,0,0,0,1,0,0,(viii),Natural,N,China
1804,,Site of Xanadu,2012,,42.358,116.1851277778,25131.27,0,1,1,1,0,1,0,0,0,0,(ii)(iii)(iv)(vi),Cultural,C,China
1876,,Xinjiang Tianshan,2013,,41.9683333333,80.3541666667,606833,0,0,0,0,0,0,1,0,1,0,(vii)(ix),Natural,N,China
2181,,The Grand Canal,2014,,34.6938888889,112.4683333333,20819.11,1,0,1,1,0,1,0,0,0,0,(i)(iii)(iv)(vi),Cultural,C,China
2035,,Tusi Sites,2015,,28.9986111111,109.9669444444,781.28,0,1,1,0,0,0,0,0,0,0,(ii)(iii),Cultural,C,China
2100,,Zuojiang Huashan Rock Art Cultural Landscape,2016,,22.2555555556,107.0230555556,6621.6,0,0,1,0,0,1,0,0,0,0,(iii)(vi),Cultural,C,China
2101,,Hubei Shennongjia,2016,,31.4697222222,110.2438888889,73318,0,0,0,0,0,0,0,0,1,1,(ix)(x),Natural,N,China
2141,,Qinghai Hoh Xil,2017,,35.3802777778,92.4391666667,3735632,0,0,0,0,0,0,1,0,0,1,(vii)(x),Natural,N,China
2142,,"Kulangsu, a Historic International Settlement",2017,,24.4475,118.0619444444,316.2,0,1,0,1,0,0,0,0,0,0,(ii)(iv),Cultural,C,China
319,,"Port, Fortresses and Group of Monuments, Cartagena",1984,,10.41666667,-75.53333333,0,0,0,0,1,0,1,0,0,0,0,(iv)(vi),Cultural,C,Colombia
841,,Los Katíos National Park,1994,1,7.666666667,-77,72000,0,0,0,0,0,0,0,0,1,1,(ix)(x),Natural,N,Colombia
876,,Historic Centre of Santa Cruz de Mompox,1995,,9.233333333,-74.43333333,0,0,0,0,1,1,0,0,0,0,0,(iv)(v),Cultural,C,Colombia
